1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5C00000072951141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 60 second(s)
Mission Start Time:  Thu Jul 20 09:06:01 SGT 2023
Mission Sample Count:  506
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jul 20 09:06:01 SGT 2023
Total Mission Samples:  506
Total Device Samples:  26401
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/7/23 11:23:01 AM,C,33.601
20/7/23 11:24:01 AM,C,33.601
20/7/23 11:25:01 AM,C,33.601
20/7/23 11:26:01 AM,C,33.601
20/7/23 11:27:01 AM,C,33.601
20/7/23 11:28:01 AM,C,33.601
20/7/23 11:29:01 AM,C,33.601
20/7/23 11:30:01 AM,C,33.601
20/7/23 11:31:01 AM,C,33.102
20/7/23 11:32:01 AM,C,33.102
20/7/23 11:33:01 AM,C,33.102
20/7/23 11:34:01 AM,C,33.102
20/7/23 11:35:01 AM,C,33.601
20/7/23 11:36:01 AM,C,33.601
20/7/23 11:37:01 AM,C,33.601
20/7/23 11:38:01 AM,C,33.601
20/7/23 11:39:01 AM,C,33.601
20/7/23 11:40:01 AM,C,33.601
20/7/23 11:41:01 AM,C,33.601
20/7/23 11:42:01 AM,C,33.102
20/7/23 11:43:01 AM,C,33.102
20/7/23 11:44:01 AM,C,33.102
20/7/23 11:45:01 AM,C,33.601
20/7/23 11:46:01 AM,C,33.601
20/7/23 11:47:01 AM,C,33.601
20/7/23 11:48:01 AM,C,33.601
20/7/23 11:49:01 AM,C,33.601
20/7/23 11:50:01 AM,C,33.601
20/7/23 11:51:01 AM,C,33.601
20/7/23 11:52:01 AM,C,33.601
20/7/23 11:53:01 AM,C,33.601
20/7/23 11:54:01 AM,C,33.601
20/7/23 11:55:01 AM,C,33.601
20/7/23 11:56:01 AM,C,33.601
20/7/23 11:57:01 AM,C,33.601
20/7/23 11:58:01 AM,C,33.601
20/7/23 11:59:01 AM,C,33.601
20/7/23 12:00:01 PM,C,33.601
20/7/23 12:01:01 PM,C,33.601
20/7/23 12:02:01 PM,C,33.601
20/7/23 12:03:01 PM,C,33.102
20/7/23 12:04:01 PM,C,33.102
20/7/23 12:05:01 PM,C,33.102
20/7/23 12:06:01 PM,C,33.102
20/7/23 12:07:01 PM,C,33.102
20/7/23 12:08:01 PM,C,33.102
20/7/23 12:09:01 PM,C,33.102
20/7/23 12:10:01 PM,C,33.102
20/7/23 12:11:01 PM,C,33.102
20/7/23 12:12:01 PM,C,33.102
20/7/23 12:13:01 PM,C,33.102
20/7/23 12:14:01 PM,C,33.102
20/7/23 12:15:01 PM,C,33.102
20/7/23 12:16:01 PM,C,33.601
20/7/23 12:17:01 PM,C,33.601
20/7/23 12:18:01 PM,C,33.601
20/7/23 12:19:01 PM,C,33.601
20/7/23 12:20:01 PM,C,33.601
20/7/23 12:21:01 PM,C,33.601
20/7/23 12:22:01 PM,C,33.601
20/7/23 12:23:01 PM,C,33.601
20/7/23 12:24:01 PM,C,33.601
20/7/23 12:25:01 PM,C,33.601
20/7/23 12:26:01 PM,C,33.601
20/7/23 12:27:01 PM,C,33.601
20/7/23 12:28:01 PM,C,33.601
20/7/23 12:29:01 PM,C,33.601
20/7/23 12:30:01 PM,C,33.601
20/7/23 12:31:01 PM,C,33.601
20/7/23 12:32:01 PM,C,33.601
20/7/23 12:33:01 PM,C,33.601
20/7/23 12:34:01 PM,C,34.1
20/7/23 12:35:01 PM,C,34.1
20/7/23 12:36:01 PM,C,34.1
20/7/23 12:37:01 PM,C,34.1
20/7/23 12:38:01 PM,C,34.1
20/7/23 12:39:01 PM,C,33.601
20/7/23 12:40:01 PM,C,33.601
20/7/23 12:41:01 PM,C,33.601
20/7/23 12:42:01 PM,C,33.601
20/7/23 12:43:01 PM,C,33.601
20/7/23 12:44:01 PM,C,33.601
20/7/23 12:45:01 PM,C,33.601
20/7/23 12:46:01 PM,C,33.601
20/7/23 12:47:01 PM,C,33.601
20/7/23 12:48:01 PM,C,33.601
20/7/23 12:49:01 PM,C,33.601
20/7/23 12:50:01 PM,C,33.601
20/7/23 12:51:01 PM,C,33.601
20/7/23 12:52:01 PM,C,33.601
20/7/23 12:53:01 PM,C,33.601
20/7/23 12:54:01 PM,C,33.601
20/7/23 12:55:01 PM,C,33.102
20/7/23 12:56:01 PM,C,33.102
20/7/23 12:57:01 PM,C,33.102
20/7/23 12:58:01 PM,C,33.102
20/7/23 12:59:01 PM,C,33.102
20/7/23 1:00:01 PM,C,33.102
20/7/23 1:01:01 PM,C,33.102
20/7/23 1:02:01 PM,C,33.102
20/7/23 1:03:01 PM,C,33.102
20/7/23 1:04:01 PM,C,33.102
20/7/23 1:05:01 PM,C,33.102
20/7/23 1:06:01 PM,C,33.601
20/7/23 1:07:01 PM,C,33.601
20/7/23 1:08:01 PM,C,33.102
20/7/23 1:09:01 PM,C,33.601
20/7/23 1:10:01 PM,C,33.601
20/7/23 1:11:01 PM,C,33.601
20/7/23 1:12:01 PM,C,33.601
20/7/23 1:13:01 PM,C,34.1
20/7/23 1:14:01 PM,C,34.1
20/7/23 1:15:01 PM,C,34.1
20/7/23 1:16:01 PM,C,34.1
20/7/23 1:17:01 PM,C,34.1
20/7/23 1:18:01 PM,C,34.1
20/7/23 1:19:01 PM,C,34.1
20/7/23 1:20:01 PM,C,34.1
20/7/23 1:21:01 PM,C,34.1
20/7/23 1:22:01 PM,C,34.1
20/7/23 1:23:01 PM,C,34.1
20/7/23 1:24:01 PM,C,34.1
20/7/23 1:25:01 PM,C,34.1
20/7/23 1:26:01 PM,C,34.1
20/7/23 1:27:01 PM,C,34.1
20/7/23 1:28:01 PM,C,34.1
20/7/23 1:29:01 PM,C,34.1
20/7/23 1:30:01 PM,C,34.1
20/7/23 1:31:01 PM,C,34.1
20/7/23 1:32:01 PM,C,34.1
20/7/23 1:33:01 PM,C,34.1
20/7/23 1:34:01 PM,C,34.1
20/7/23 1:35:01 PM,C,34.1
20/7/23 1:36:01 PM,C,34.1
20/7/23 1:37:01 PM,C,34.1
20/7/23 1:38:01 PM,C,34.1
20/7/23 1:39:01 PM,C,34.599
20/7/23 1:40:01 PM,C,34.1
20/7/23 1:41:01 PM,C,34.1
20/7/23 1:42:01 PM,C,34.1
20/7/23 1:43:01 PM,C,34.1
20/7/23 1:44:01 PM,C,34.1
20/7/23 1:45:01 PM,C,34.1
20/7/23 1:46:01 PM,C,34.1
20/7/23 1:47:01 PM,C,34.1
20/7/23 1:48:01 PM,C,34.1
20/7/23 1:49:01 PM,C,34.1
20/7/23 1:50:01 PM,C,34.1
20/7/23 1:51:01 PM,C,34.1
20/7/23 1:52:01 PM,C,34.1
20/7/23 1:53:01 PM,C,34.1
20/7/23 1:54:01 PM,C,34.1
20/7/23 1:55:01 PM,C,34.1
20/7/23 1:56:01 PM,C,34.1
20/7/23 1:57:01 PM,C,34.1
20/7/23 1:58:01 PM,C,34.599
20/7/23 1:59:01 PM,C,34.599
20/7/23 2:00:01 PM,C,34.599
20/7/23 2:01:01 PM,C,34.599
20/7/23 2:02:01 PM,C,34.599
20/7/23 2:03:01 PM,C,34.1
20/7/23 2:04:01 PM,C,34.1
20/7/23 2:05:01 PM,C,34.1
20/7/23 2:06:01 PM,C,34.1
20/7/23 2:07:01 PM,C,34.1
20/7/23 2:08:01 PM,C,34.1
20/7/23 2:09:01 PM,C,34.599
20/7/23 2:10:01 PM,C,34.599
20/7/23 2:11:01 PM,C,34.599
20/7/23 2:12:01 PM,C,34.1
20/7/23 2:13:01 PM,C,34.599
20/7/23 2:14:01 PM,C,34.1
20/7/23 2:15:01 PM,C,34.1
20/7/23 2:16:01 PM,C,34.1
20/7/23 2:17:01 PM,C,34.1
20/7/23 2:18:01 PM,C,34.1
20/7/23 2:19:01 PM,C,34.599
20/7/23 2:20:01 PM,C,34.1
20/7/23 2:21:01 PM,C,34.599
20/7/23 2:22:01 PM,C,34.1
20/7/23 2:23:01 PM,C,34.1
20/7/23 2:24:01 PM,C,34.1
20/7/23 2:25:01 PM,C,34.1
20/7/23 2:26:01 PM,C,34.1
20/7/23 2:27:01 PM,C,34.1
20/7/23 2:28:01 PM,C,34.1
20/7/23 2:29:01 PM,C,34.1
20/7/23 2:30:01 PM,C,34.1
20/7/23 2:31:01 PM,C,34.1
20/7/23 2:32:01 PM,C,34.1
20/7/23 2:33:01 PM,C,34.1
20/7/23 2:34:01 PM,C,34.1
20/7/23 2:35:01 PM,C,34.599
20/7/23 2:36:01 PM,C,34.599
20/7/23 2:37:01 PM,C,34.1
20/7/23 2:38:01 PM,C,34.1
20/7/23 2:39:01 PM,C,34.1
20/7/23 2:40:01 PM,C,34.1
